# BUSCO version is: 5.0.0 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Complete	scaffold_7	1894	16446	+	2493.0	2904	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	scaffold_309	358	10789	-	1911.4	2179	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Missing
3534at4751	Missing
4409at4751	Missing
4466at4751	Fragmented	scaffold_83	2001	8969	+	766.3	1583	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Duplicated	scaffold_58	7187	13090	+	1991.5	1199	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
4523at4751	Duplicated	scaffold_58	2035	6543	+	1976.2	1176	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	scaffold_706	272	5000	+	541.5	842	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Fragmented	scaffold_4427	22	675	+	64.4	194	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Fragmented	scaffold_1996	2451	3650	+	426.6	283	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Missing
6592at4751	Missing
6812at4751	Fragmented	scaffold_647	3	4043	+	719.0	744	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	scaffold_761	520	7167	+	839.3	1042	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	scaffold_34	8947	10620	+	274.7	518	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Fragmented	scaffold_1300	128	5225	+	257.2	450	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	scaffold_970	504	6485	+	2005.5	1404	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Missing
10531at4751	Missing
11140at4751	Missing
11636at4751	Missing
11879at4751	Missing
12258at4751	Complete	scaffold_604	3603	7961	-	1205.5	989	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Fragmented	scaffold_417	6975	8137	-	124.4	223	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Missing
13224at4751	Fragmented	scaffold_3038	2	2236	+	99.6	387	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
