# BUSCO version is: 5.0.0 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Complete	scaffold_96	1870	15735	+	2489.4	2904	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	scaffold_102	614	8269	-	1457.1	1675	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Missing
3534at4751	Missing
4409at4751	Missing
4466at4751	Complete	scaffold_343	1243	8976	-	978.8	1829	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	scaffold_737	326	9082	+	3086.6	1889	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Missing
6186at4751	Complete	scaffold_48	24101	29011	-	250.3	858	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	scaffold_782	2891	6427	+	705.4	796	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Missing
6592at4751	Missing
6812at4751	Complete	scaffold_795	129	7453	-	1684.4	1336	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Fragmented	scaffold_893	2	4595	-	394.6	539	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	scaffold_528	4979	6652	-	274.7	518	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	scaffold_1006	276	7167	-	321.2	620	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	scaffold_1266	258	6330	+	2005.5	1404	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Missing
10531at4751	Missing
11140at4751	Missing
11636at4751	Missing
11879at4751	Missing
12258at4751	Complete	scaffold_242	861	5203	+	1205.5	989	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Fragmented	scaffold_68	11515	12677	-	124.4	223	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Missing
13224at4751	Fragmented	scaffold_3564	156	2263	+	92.5	378	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Fragmented	scaffold_117	15009	18663	+	382.8	813	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
